Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
NCLH,Norwegian Cruise Line Holdings Ltd. Ordinary Shares,United States,NULL,Consumer Discretionary,Hotels/Resorts,5867415638,2022-06-09
NEE,NextEra Energy Inc. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,154154291930,2022-06-09
NEM,Newmont Corporation,United States,NULL,Basic Materials,Precious Metals,51968276582,2022-06-09
NET,Cloudflare Inc. Class A Common Stock,United States,2019,Technology,EDP Services,17058931946,2022-06-09
NFLX,Netflix Inc. Common Stock,United States,2002,Consumer Discretionary,Movies/Entertainment,87197628540,2022-06-09
NIO,NIO Inc. American depositary shares each  representing one Class A ordinary share,NULL,2018,Finance,Finance Companies,31573085702,2022-06-09
NKE,Nike Inc. Common Stock,United States,NULL,Consumer Discretionary,Shoe Manufacturing,189513078617,2022-06-09
NLOK,NortonLifeLock Inc. Common Stock,United States,NULL,Technology,Computer Software: Prepackaged Software,14240572869,2022-06-09
NLY,Annaly Capital Management Inc Common Stock,United States,NULL,Real Estate,Real Estate Investment Trusts,9796147367,2022-06-09
NOC,Northrop Grumman Corporation Common Stock,United States,NULL,Technology,Security Systems Services,72964142202,2022-06-09
NOK,Nokia Corporation Sponsored American Depositary Shares,Finland,1994,Technology,Radio And Television Broadcasting And Communications Equipment,27795414802,2022-06-09
NOW,ServiceNow Inc. Common Stock,United States,2012,Technology,Computer Software: Prepackaged Software,100656920549,2022-06-09
NSC,Norfolk Southern Corporation Common Stock,United States,NULL,Industrials,Railroads,57771801394,2022-06-09
NTES,NetEase Inc. American Depositary Shares,China,NULL,Consumer Discretionary,Recreational Games/Products/Toys,68635407093,2022-06-09
NTR,Nutrien Ltd. Common Shares,NULL,2004,Industrials,Agricultural Chemicals,49815467548,2022-06-09
NU,Nu Holdings Ltd. Class A Ordinary Shares,NULL,2021,NULL,NULL,18762653382,2022-06-09
NUE,Nucor Corporation Common Stock,United States,NULL,Industrials,Steel/Iron Ore,33537110562,2022-06-09
